Gender,Age,Relationship,Education,Height(cm),Weight(kg)
1.0,78.0,1.0,1.0,0.0,0.0
1.0,69.0,2.0,5.0,0.0,0.0
2.0,51.0,2.0,4.0,0.0,0.0
2.0,9.0,0.0,0.0,0.0,0.0
1.0,61.0,1.0,3.0,0.0,0.0
1.0,32.0,2.0,5.0,0.0,0.0
1.0,44.0,2.0,3.0,0.0,0.0
2.0,47.0,1.0,5.0,0.0,0.0
2.0,79.0,1.0,3.0,0.0,0.0
2.0,11.0,0.0,0.0,0.0,0.0
2.0,16.0,0.0,0.0,0.0,0.0
2.0,80.0,1.0,5.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0
2.0,80.0,2.0,3.0,0.0,0.0
2.0,13.0,0.0,0.0,0.0,0.0
2.0,12.0,0.0,0.0,0.0,0.0
2.0,6.0,0.0,0.0,0.0,0.0
2.0,66.0,1.0,3.0,0.0,0.0
2.0,16.0,0.0,0.0,0.0,0.0
2.0,63.0,1.0,3.0,0.0,0.0
1.0,61.0,3.0,2.0,0.0,0.0
1.0,4.0,0.0,0.0,0.0,0.0
1.0,48.0,2.0,4.0,0.0,0.0
2.0,24.0,1.0,3.0,0.0,0.0
1.0,5.0,0.0,0.0,0.0,0.0
1.0,3.0,0.0,0.0,0.0,0.0
2.0,32.0,1.0,5.0,0.0,0.0
2.0,7.0,0.0,0.0,0.0,0.0
1.0,28.0,3.0,4.0,0.0,0.0
1.0,6.0,0.0,0.0,0.0,0.0
2.0,80.0,2.0,4.0,0.0,0.0
1.0,63.0,1.0,4.0,0.0,0.0
1.0,13.0,0.0,0.0,0.0,0.0
2.0,44.0,2.0,4.0,0.0,0.0
1.0,9.0,0.0,0.0,0.0,0.0
2.0,10.0,0.0,0.0,0.0,0.0
2.0,3.0,0.0,0.0,0.0,0.0
1.0,31.0,3.0,2.0,0.0,0.0
1.0,6.0,0.0,0.0,0.0,0.0
1.0,25.0,1.0,3.0,0.0,0.0
2.0,56.0,2.0,4.0,0.0,0.0
2.0,16.0,0.0,0.0,0.0,0.0
2.0,43.0,1.0,3.0,0.0,0.0
2.0,25.0,3.0,3.0,0.0,0.0
1.0,31.0,1.0,5.0,0.0,0.0
1.0,3.0,0.0,0.0,0.0,0.0
2.0,20.0,3.0,4.0,0.0,0.0
2.0,16.0,0.0,0.0,0.0,0.0
1.0,52.0,1.0,5.0,0.0,0.0
2.0,72.0,1.0,4.0,0.0,0.0
1.0,32.0,3.0,3.0,0.0,0.0
2.0,29.0,1.0,2.0,0.0,0.0
2.0,52.0,1.0,5.0,0.0,0.0
2.0,55.0,2.0,4.0,0.0,0.0
2.0,36.0,1.0,5.0,0.0,0.0
2.0,5.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0
2.0,29.0,1.0,3.0,0.0,0.0
1.0,19.0,0.0,0.0,0.0,0.0
2.0,16.0,0.0,0.0,0.0,0.0
2.0,80.0,2.0,5.0,0.0,0.0
2.0,10.0,0.0,0.0,0.0,0.0
1.0,22.0,3.0,3.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0
1.0,34.0,1.0,5.0,0.0,0.0
2.0,13.0,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0
1.0,50.0,1.0,3.0,0.0,0.0
